"","modzcta","casecount","week_ending"
"675",11373,13,2020-09-05
"676",11374,22,2020-09-05
"677",11375,14,2020-09-05
"678",11377,15,2020-09-05
"679",11378,11,2020-09-05
"680",11379,8,2020-09-05
"681",11385,27,2020-09-05
"682",11411,1,2020-09-05
"683",11412,1,2020-09-05
"684",11413,8,2020-09-05
"685",11414,3,2020-09-05
"686",11415,9,2020-09-05
"687",11416,4,2020-09-05
"688",11417,1,2020-09-05
"689",11418,8,2020-09-05
"690",11419,12,2020-09-05
"691",11420,12,2020-09-05
"692",11421,7,2020-09-05
"693",11422,2,2020-09-05
"694",11423,6,2020-09-05
"695",11426,7,2020-09-05
"696",11427,3,2020-09-05
"697",11428,0,2020-09-05
"698",11429,1,2020-09-05
"699",11432,8,2020-09-05
"700",11433,6,2020-09-05
"701",11434,8,2020-09-05
"702",11435,13,2020-09-05
"703",11436,2,2020-09-05
"704",11691,34,2020-09-05
"705",11692,3,2020-09-05
"706",11693,1,2020-09-05
"707",11694,3,2020-09-05
"708",11697,3,2020-09-05
"709",10001,10,2020-09-12
"710",10002,5,2020-09-12
"711",10003,29,2020-09-12
"712",10004,0,2020-09-12
"713",10005,2,2020-09-12
"714",10006,0,2020-09-12
"715",10007,2,2020-09-12
"716",10009,25,2020-09-12
"717",10010,8,2020-09-12
"718",10011,8,2020-09-12
"719",10012,10,2020-09-12
"720",10013,9,2020-09-12
"721",10014,7,2020-09-12
"722",10016,11,2020-09-12
"723",10017,0,2020-09-12
"724",10018,3,2020-09-12
"725",10019,12,2020-09-12
"726",10021,14,2020-09-12
"727",10022,12,2020-09-12
"728",10023,5,2020-09-12
"729",10024,6,2020-09-12
"730",10025,30,2020-09-12
"731",10026,7,2020-09-12
"732",10027,17,2020-09-12
"733",10028,9,2020-09-12
"734",10029,15,2020-09-12
"735",10030,8,2020-09-12
"736",10031,11,2020-09-12
"737",10032,15,2020-09-12
"738",10033,7,2020-09-12
"739",10034,6,2020-09-12
"740",10035,8,2020-09-12
"741",10036,7,2020-09-12
"742",10037,4,2020-09-12
"743",10038,8,2020-09-12
"744",10039,0,2020-09-12
"745",10040,13,2020-09-12
"746",10044,1,2020-09-12
"747",10065,8,2020-09-12
"748",10069,0,2020-09-12
"749",10075,5,2020-09-12
"750",10128,6,2020-09-12
"751",10280,0,2020-09-12
"752",10282,0,2020-09-12
"753",10301,4,2020-09-12
"754",10302,5,2020-09-12
"755",10303,3,2020-09-12
"756",10304,11,2020-09-12
"757",10305,10,2020-09-12
"758",10306,16,2020-09-12
"759",10307,7,2020-09-12
"760",10308,10,2020-09-12
"761",10309,18,2020-09-12
"762",10310,11,2020-09-12
"763",10312,29,2020-09-12
"764",10314,26,2020-09-12
"765",10451,16,2020-09-12
"766",10452,43,2020-09-12
"767",10453,22,2020-09-12
"768",10454,5,2020-09-12
"769",10455,6,2020-09-12
"770",10456,28,2020-09-12
"771",10457,16,2020-09-12
"772",10458,9,2020-09-12
"773",10459,19,2020-09-12
"774",10460,15,2020-09-12
"775",10461,9,2020-09-12
"776",10462,19,2020-09-12
"777",10463,16,2020-09-12
"778",10464,0,2020-09-12
"779",10465,10,2020-09-12
"780",10466,18,2020-09-12
"781",10467,23,2020-09-12
"782",10468,20,2020-09-12
"783",10469,7,2020-09-12
"784",10470,4,2020-09-12
"785",10471,2,2020-09-12
"786",10472,22,2020-09-12
"787",10473,10,2020-09-12
"788",10474,2,2020-09-12
"789",10475,10,2020-09-12
"790",11004,5,2020-09-12
"791",11101,5,2020-09-12
"792",11102,9,2020-09-12
"793",11103,22,2020-09-12
"794",11104,1,2020-09-12
"795",11105,12,2020-09-12
"796",11106,7,2020-09-12
"797",11109,0,2020-09-12
"798",11201,7,2020-09-12
