"","week_ending","modzcta","pop_est","casecount","caserate_100k","testcount","testrate_100k","testpos"
"128",2020-08-08,11355,80853,16.4050737,20.29,1255.0487778,1552.26,1.30712638346669
"129",2020-08-08,11356,23362,13.3116676,56.98,394.2477672,1687.56,3.37647254023561
"130",2020-08-08,11357,39902,11.3361582,28.41,945.1227622,2368.61,1.19943764486344
"131",2020-08-08,11358,37190,6.195854,16.66,641.088658,1723.82,0.966458214894827
"132",2020-08-08,11360,19621,3.0903075,15.75,335.852657,1711.7,0.920137874627563
"133",2020-08-08,11361,27246,3.1005948,11.38,635.4148644,2332.14,0.487963844366119
"134",2020-08-08,11362,18721,4.137341,22.1,355.7682677,1900.37,1.16293142914275
"135",2020-08-08,11363,6952,2.0640488,29.69,150.6971136,2167.68,1.36966710953646
"136",2020-08-08,11364,36806,4.1259526,11.21,579.602485,1574.75,0.711859025242102
"137",2020-08-08,11365,44983,5.1325603,11.41,771.0176166,1714.02,0.665686514743119
"138",2020-08-08,11366,14650,5.155335,35.19,240.246815,1639.91,2.14584946734882
"139",2020-08-08,11367,41824,5.1401696,12.29,690.9659392,1652.08,0.743910706503317
"140",2020-08-08,11368,112425,30.557115,27.18,1943.5247025,1728.73,1.5722524627906
"141",2020-08-08,11369,34118,6.0866512,17.84,643.243713,1885.35,0.946243403081656
"142",2020-08-08,11370,32514,5.1144522,15.73,584.2375632,1796.88,0.875406259739103
"143",2020-08-08,11372,61844,19.3633564,31.31,1463.4826004,2366.41,1.32310123773987
"144",2020-08-08,11373,93967,14.3487609,15.27,1757.2204868,1870.04,0.816560073581314
"145",2020-08-08,11374,42653,13.3973073,31.41,796.5149179,1867.43,1.68199075735101
"146",2020-08-08,11375,73488,22.6857456,30.87,1363.2097488,1855.01,1.66414197228047
"147",2020-08-08,11377,86421,12.3409188,14.28,1774.7330139,2053.59,0.695367624501483
"148",2020-08-08,11378,37279,7.2209423,19.37,692.0436281,1856.39,1.04342298762652
"149",2020-08-08,11379,37851,3.0999969,8.19,875.077269,2311.9,0.354254076733423
"150",2020-08-08,11385,106717,14.4174667,13.51,1700.428678,1593.4,0.847872473955064
"151",2020-08-08,11411,20930,1.959048,9.36,446.441086,2133.02,0.438814450872472
"152",2020-08-08,11412,37458,8.8475796,23.62,854.4094884,2280.98,1.03551982042806
"153",2020-08-08,11413,42443,5.8953327,13.89,833.9879728,1964.96,0.706884618516407
"154",2020-08-08,11414,29219,3.0913702,10.58,479.1127087,1639.73,0.645228177809761
"155",2020-08-08,11415,19372,1.026716,5.3,400.3107568,2066.44,0.256479742939548
"156",2020-08-08,11416,27125,6.168225,22.74,400.8668125,1477.85,1.53872179179213
"157",2020-08-08,11417,31927,10.2868794,32.22,513.2361031,1607.53,2.00431718226098
"158",2020-08-08,11418,38517,7.1718654,18.62,530.8374423,1378.19,1.3510473882411
"159",2020-08-08,11419,49618,7.1598774,14.43,637.2985538,1284.41,1.12347303431147
"160",2020-08-08,11420,48489,4.0536804,8.36,659.9013477,1360.93,0.61428581925595
"161",2020-08-08,11421,41002,7.1671496,17.48,638.8398614,1558.07,1.12190081318554
"162",2020-08-08,11422,32082,0.9913338,3.09,675.534633,2105.65,0.14674803504856
"163",2020-08-08,11423,31400,4.0349,12.85,635.29422,2023.23,0.635123045822769
"164",2020-08-08,11426,20801,1.0317296,4.96,308.4517887,1482.87,0.334486502525508
"165",2020-08-08,11427,24037,1.0191688,4.24,495.570829,2061.7,0.205655526992288
"166",2020-08-08,11428,18929,2.0367604,10.76,371.8374902,1964.38,0.547755525916574
"167",2020-08-08,11429,31780,3.950254,12.43,637.214424,2005.08,0.619925389510643
"168",2020-08-08,11432,62053,14.2970112,23.04,1008.0944221,1624.57,1.41822143705719
"169",2020-08-08,11433,36489,6.9949413,19.17,684.3840351,1875.59,1.02207838600121
"170",2020-08-08,11434,65989,5.9324111,8.99,1525.1047735,2311.15,0.388983839214244
"171",2020-08-08,11435,59296,12.1793984,20.54,956.207296,1612.6,1.27371945925834
"172",2020-08-08,11436,20077,2.0036846,9.98,347.5971164,1731.32,0.576438786590578
"173",2020-08-08,11691,67094,22.0806354,32.91,1624.7550134,2421.61,1.35901321847862
"174",2020-08-08,11692,20991,5.9887323,28.53,636.8438499,3033.89,0.940376875892007
"175",2020-08-08,11693,12919,0,0,238.5583783,1846.57,0
"176",2020-08-08,11694,21354,5.1377724,24.06,507.659319,2377.35,1.01205123351631
"177",2020-08-08,11697,3540,2.08683,58.95,84.518916,2387.54,2.46906858104995
"178",2020-08-15,10001,23072,3.3431328,14.49,453.7016512,1966.46,0.736857093457279
"179",2020-08-15,10002,74993,7.9642566,10.62,1747.3144021,2329.97,0.455799860084035
"180",2020-08-15,10003,54682,4.0519362,7.41,1202.484521,2199.05,0.336963688865647
"181",2020-08-15,10004,3028,0,0,70.2974424,2321.58,0
"182",2020-08-15,10005,8831,5.042501,57.1,182.5244066,2066.86,2.76264478484271
"183",2020-08-15,10006,3454,0,0,74.5583894,2158.61,0
"184",2020-08-15,10007,7023,1.004289,14.3,228.0241686,3246.82,0.440430944739776
"185",2020-08-15,10009,57925,5.0684375,8.75,1326.725785,2290.42,0.382026003964338
"186",2020-08-15,10010,33730,13.147954,38.98,844.437296,2503.52,1.55700773311178
"187",2020-08-15,10011,50472,6.0869232,12.06,1154.6075664,2287.62,0.527185459123456
"188",2020-08-15,10012,23411,6.0681312,25.92,684.5704154,2924.14,0.886414467159575
"189",2020-08-15,10013,28709,4.9810115,17.35,731.2010046,2546.94,0.681209608392817
"190",2020-08-15,10014,30738,2.0256342,6.59,883.5545886,2874.47,0.229259654823324
"191",2020-08-15,10016,51057,8.0210547,15.71,1206.425853,2362.9,0.664860975919421
"192",2020-08-15,10017,15801,0,0,308.6677947,1953.47,0
"193",2020-08-15,10018,9687,0.8214576,8.48,178.2853602,1840.46,0.460754376623236
"194",2020-08-15,10019,43703,5.0214747,11.49,1060.3833702,2426.34,0.473552758475729
"195",2020-08-15,10021,46215,4.029948,8.72,1393.234362,3014.68,0.289251263815728
"196",2020-08-15,10022,31125,3.0222375,9.71,649.77795,2087.64,0.465118507022284
"197",2020-08-15,10023,62435,9.0967795,14.57,1401.6470195,2244.97,0.64900644552043
